week,game_time,date_stamp,nice_score,win,lose,winner,loser,team_home,team_away,season_type,home,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
1,1:00,9/11/2016,GB (27) at JAC (23),True,False,GB,JAC,JAC,GB,REG,False,104.9,34,20,0,2,0,0,0,0,0,199,4,8,6,1,0,0,16,3
2,8:30,9/18/2016,GB (14) at MIN (17),False,True,MIN,GB,MIN,GB,REG,False,80.0,36,20,1,1,0,0,0,0,0,213,3,10,10,1,0,0,29,2
3,1:00,9/25/2016,DET (27) at GB (34),True,False,GB,DET,GB,DET,REG,True,129.3,24,15,0,4,0,0,0,0,0,205,5,14,0,0,0,0,22,4
5,8:30,10/9/2016,NYG (16) at GB (23),True,False,GB,NYG,GB,NYG,REG,True,65.0,45,23,2,2,0,0,0,0,0,259,5,11,0,0,0,0,15,2
6,4:25,10/16/2016,DAL (30) at GB (16),False,True,DAL,GB,GB,DAL,REG,True,90.8,42,31,1,1,0,0,0,0,0,294,3,9,0,0,0,0,7,1
7,8:25,10/20/2016,CHI (10) at GB (26),True,False,GB,CHI,GB,CHI,REG,True,102.2,56,39,0,3,0,0,0,0,0,326,2,8,0,0,0,0,7,3
8,4:25,10/30/2016,GB (32) at ATL (33),False,True,ATL,GB,ATL,GB,REG,False,125.5,38,28,0,4,0,1,1,0,0,246,6,23,0,0,1,1,60,4
9,4:25,11/6/2016,IND (31) at GB (26),False,True,IND,GB,GB,IND,REG,True,94.8,43,26,1,3,1,1,0,0,0,297,6,21,0,0,0,0,43,3
10,1:00,11/13/2016,GB (25) at TEN (47),False,True,TEN,GB,TEN,GB,REG,False,86.3,51,31,2,2,0,0,0,0,0,371,3,20,20,1,0,0,27,3
11,8:30,11/20/2016,GB (24) at WAS (42),False,True,WAS,GB,WAS,GB,REG,False,115.0,41,26,0,3,0,0,0,0,0,351,3,17,0,0,0,0,33,3
12,8:30,11/28/2016,GB (27) at PHI (13),True,False,GB,PHI,PHI,GB,REG,False,116.7,39,30,0,2,0,0,0,0,0,313,6,16,0,0,0,0,26,2
13,1:00,12/4/2016,HOU (13) at GB (21),True,False,GB,HOU,GB,HOU,REG,True,108.9,30,20,0,2,0,0,0,0,0,209,3,11,0,0,0,0,16,2
14,4:25,12/11/2016,SEA (10) at GB (38),True,False,GB,SEA,GB,SEA,REG,True,150.8,23,18,0,3,0,0,0,0,0,246,3,-1,0,0,0,0,-6,3
15,1:00,12/18/2016,GB (30) at CHI (27),True,False,GB,CHI,CHI,GB,REG,False,87.0,31,19,0,0,0,0,0,0,0,252,3,8,0,0,0,0,19,0
16,1:00,12/24/2016,MIN (25) at GB (38),True,False,GB,MIN,GB,MIN,REG,True,141.1,38,28,0,4,0,0,0,0,0,347,2,7,6,1,0,0,13,5
17,8:30,1/1/2016,GB (31) at DET (24),True,False,GB,DET,DET,GB,REG,False,126.0,39,27,0,4,1,1,1,0,1,300,10,13,0,0,0,0,42,4
1,4:40,1/8/2016,NYG (13) at GB (38),True,False,GB,NYG,GB,NYG,POST,True,125.2,40,25,0,4,0,0,0,0,0,362,2,1,0,0,0,0,0,4
2,4:40,1/15/2016,GB (34) at DAL (31),True,False,GB,DAL,DAL,GB,POST,False,96.7,43,28,1,2,0,0,0,0,0,356,2,11,0,0,0,0,16,2
3,3:05,1/22/2016,GB (21) at ATL (44),False,True,ATL,GB,ATL,GB,POST,False,91.6,45,27,1,3,0,0,0,0,0,287,4,28,0,0,0,0,46,3
