week,game_time,date_stamp,desc,down,drive,first_down,home,note,passing_att,passing_cmp,passing_cmp_air_yds,passing_first_down,passing_tds,passing_yds,players,playid,receiving_rec,receiving_tar,receiving_tds,receiving_yac_yds,receiving_yds,team,time,touchdown,yardline,yards_togo
1,8:30,9/4/2014,(13:06) (Shotgun) A.Rodgers pass short left to J.Nelson to GB 39 for -2 yards (K.Wright).,2,0,0,False,,1,1,-2,0,0,-2,"[K.Wright, A.Rodgers, J.Nelson]",153,1,1,0,0,-2,GB,Q1 13:06,False,OWN 41,8
1,8:30,9/4/2014,(12:30) (Shotgun) A.Rodgers sacked at GB 39 for 0 yards (O.Schofield).,3,0,0,False,,0,0,0,0,0,0,"[O.Schofield, A.Rodgers]",177,0,0,0,0,0,GB,Q1 12:30,False,OWN 39,10
1,8:30,9/4/2014,(6:03) A.Rodgers pass short left to J.Nelson pushed ob at GB 31 for 11 yards (K.Chancellor).,1,2,1,False,,1,1,9,1,0,11,"[K.Chancellor, A.Rodgers, J.Nelson]",541,1,1,0,2,11,GB,Q1 06:03,False,OWN 20,10
1,8:30,9/4/2014,"(5:43) (Shotgun) A.Rodgers pass short right to E.Lacy to GB 26 for -5 yards (J.Lane, B.Wagner).",1,2,0,False,,1,1,-2,0,0,-5,"[B.Wagner, J.Lane, A.Rodgers, E.Lacy]",565,1,1,0,-3,-5,GB,Q1 05:43,False,OWN 31,10
1,8:30,9/4/2014,(4:55) (Shotgun) A.Rodgers pass incomplete deep left to R.Cobb.,2,2,0,False,,1,0,0,0,0,0,"[A.Rodgers, R.Cobb]",589,0,1,0,0,0,GB,Q1 04:55,False,OWN 26,15
1,8:30,9/4/2014,(4:51) (Shotgun) A.Rodgers pass incomplete deep middle to J.Nelson.,3,2,0,False,,1,0,0,0,0,0,"[A.Rodgers, J.Nelson]",611,0,1,0,0,0,GB,Q1 04:51,False,OWN 26,15
1,8:30,9/4/2014,(3:19) (Shotgun) A.Rodgers pass short left to R.Cobb pushed ob at SEA 24 for 8 yards (B.Maxwell).,3,3,1,False,,1,1,8,1,0,8,"[B.Maxwell, R.Cobb, A.Rodgers]",708,1,1,0,0,8,GB,Q1 03:19,False,OPP 32,8
1,8:30,9/4/2014,"(2:39) (No Huddle, Shotgun) A.Rodgers pass short left to J.Nelson to SEA 8 for 16 yards (B.Maxwell).",1,3,1,False,,1,1,9,1,0,16,"[B.Maxwell, A.Rodgers, J.Nelson]",737,1,1,0,7,16,GB,Q1 02:39,False,OPP 24,10
1,8:30,9/4/2014,(2:07) (Shotgun) A.Rodgers pass short left to J.Nelson pushed ob at SEA 2 for 6 yards (B.Maxwell).,1,3,0,False,,1,1,1,0,0,6,"[A.Rodgers, B.Maxwell, J.Nelson]",761,1,1,0,5,6,GB,Q1 02:07,False,OPP 8,8
1,8:30,9/4/2014,"(12:24) A.Rodgers pass short right to E.Lacy to GB 21 for 4 yards (K.Chancellor, B.Wagner).",2,5,0,False,,1,1,-3,0,0,4,"[B.Wagner, K.Chancellor, A.Rodgers, E.Lacy]",1111,1,1,0,7,4,GB,Q2 12:24,False,OWN 17,9
1,8:30,9/4/2014,(11:37) (Shotgun) A.Rodgers pass short middle to R.Cobb to GB 32 for 11 yards (J.Lane).,3,5,1,False,,1,1,5,1,0,11,"[A.Rodgers, R.Cobb, J.Lane]",1135,1,1,0,6,11,GB,Q2 11:37,False,OWN 21,5
1,8:30,9/4/2014,(9:33) (Shotgun) A.Rodgers pass short right to A.Quarless to GB 46 for 2 yards (K.Chancellor).,1,5,0,False,,1,1,1,0,0,2,"[A.Quarless, K.Chancellor, A.Rodgers]",1229,1,1,0,1,2,GB,Q2 09:33,False,OWN 44,10
1,8:30,9/4/2014,(8:13) (Shotgun) A.Rodgers pass short left to R.Cobb to SEA 7 for no gain (J.Lane).,1,5,0,False,,1,1,0,0,0,0,"[J.Lane, A.Rodgers, R.Cobb]",1308,1,1,0,0,0,GB,Q2 08:13,False,OPP 7,7
1,8:30,9/4/2014,(7:00) (Shotgun) A.Rodgers pass incomplete short middle to J.Nelson.,3,5,0,False,,1,0,0,0,0,0,"[A.Rodgers, J.Nelson]",1353,0,1,0,0,0,GB,Q2 07:00,False,OPP 5,5
1,8:30,9/4/2014,(3:41) A.Rodgers pass short middle to A.Quarless to GB 38 for 18 yards (B.Wagner; K.Chancellor).,1,7,1,False,,1,1,3,1,0,18,"[B.Wagner, A.Quarless, K.Chancellor, A.Rodgers]",1617,1,1,0,15,18,GB,Q2 03:41,False,OWN 20,10
1,8:30,9/4/2014,(2:17) (Shotgun) A.Rodgers pass short middle to J.Starks to GB 49 for 11 yards (K.Wright).,2,7,1,False,,1,1,3,1,0,11,"[K.Wright, A.Rodgers, J.Starks]",1679,1,1,0,8,11,GB,Q2 02:17,False,OWN 38,10
1,8:30,9/4/2014,(2:00) (Shotgun) A.Rodgers pass short right to A.Quarless to SEA 45 for 6 yards (K.Chancellor).,1,7,0,False,,1,1,6,0,0,6,"[A.Quarless, K.Chancellor, A.Rodgers]",1720,1,1,0,0,6,GB,Q2 02:00,False,OWN 49,10
1,8:30,9/4/2014,(1:33) (Shotgun) A.Rodgers pass short right to J.Starks pushed ob at SEA 45 for no gain (B.Wagner).,2,7,0,False,,1,1,-6,0,0,0,"[B.Wagner, A.Rodgers, J.Starks]",1744,1,1,0,6,0,GB,Q2 01:33,False,OPP 45,4
