week,game_time,date_stamp,nice_score,win,lose,winner,loser,team_home,team_away,season_type,home,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
1,8:30,9/8/2011,NO (34) at GB (42),True,False,GB,NO,GB,NO,REG,True,132.1,35,27,0,3,0,0,0,0,0,312,4,2,0,0,0,0,1,3
2,1:00,9/18/2011,GB (30) at CAR (23),True,False,GB,CAR,CAR,GB,REG,False,119.9,30,19,0,2,0,0,0,0,0,308,5,8,0,0,0,0,13,2
3,4:15,9/25/2011,GB (27) at CHI (17),True,False,GB,CHI,CHI,GB,REG,False,111.4,38,28,1,3,0,0,0,0,0,297,1,3,0,0,0,0,3,3
4,4:15,10/2/2011,DEN (23) at GB (49),True,False,GB,DEN,GB,DEN,REG,True,139.0,38,29,1,4,0,0,0,0,0,408,9,11,11,2,0,0,36,6
5,8:20,10/9/2011,GB (25) at ATL (14),True,False,GB,ATL,ATL,GB,REG,False,117.0,39,26,0,2,1,1,0,0,0,396,1,-1,0,0,0,0,-1,2
6,1:00,10/16/2011,STL (3) at GB (24),True,False,GB,STL,GB,STL,REG,True,119.6,28,17,1,3,0,0,0,0,0,310,7,9,0,0,0,0,15,3
7,4:15,10/23/2011,GB (33) at MIN (27),True,False,GB,MIN,MIN,GB,REG,False,146.5,30,24,0,3,0,0,0,0,0,335,2,9,0,0,0,0,8,3
9,4:15,11/6/2011,GB (45) at SD (38),True,False,GB,SD,SD,GB,REG,False,145.8,26,21,0,4,0,0,0,0,0,247,8,25,0,0,0,0,52,4
10,8:30,11/14/2011,MIN (7) at GB (45),True,False,GB,MIN,GB,MIN,REG,True,140.3,30,23,0,4,0,0,0,0,0,250,6,9,0,0,0,0,21,4
11,1:00,11/20/2011,TB (26) at GB (35),True,False,GB,TB,GB,TB,REG,True,112.3,34,23,1,3,0,0,0,0,0,299,5,11,0,0,0,0,28,3
12,12:30,11/24/2011,GB (27) at DET (15),True,False,GB,DET,DET,GB,REG,False,116.6,33,22,0,2,0,0,0,0,0,307,1,-1,0,0,0,0,-1,2
13,4:15,12/4/2011,GB (38) at NYG (35),True,False,GB,NYG,NYG,GB,REG,False,106.2,46,28,1,4,0,0,0,0,0,369,4,13,0,0,0,0,32,4
14,4:15,12/11/2011,OAK (16) at GB (46),True,False,GB,OAK,GB,OAK,REG,True,96.7,30,17,1,2,0,0,0,0,0,281,0,0,0,0,0,0,0,2
15,1:00,12/18/2011,GB (14) at KC (19),False,True,KC,GB,KC,GB,REG,False,89.6,35,17,0,1,0,0,0,0,0,235,3,19,8,1,0,0,32,2
16,8:20,12/25/2011,CHI (21) at GB (35),True,False,GB,CHI,GB,CHI,REG,True,142.7,29,21,0,5,0,0,0,0,0,283,4,12,0,0,0,0,18,5
2,4:30,1/15/2011,NYG (37) at GB (20),False,True,NYG,GB,GB,NYG,POST,True,78.5,46,26,1,2,0,0,0,0,0,264,7,16,0,0,0,0,66,2
