season,week,game_time,date_stamp,nice_score,win,lose,winner,loser,team_home,team_away,season_type,home,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
2014,1,8:30,9/4/2014,GB (16) at SEA (36),False,True,SEA,GB,SEA,GB,REG,False,81.5,33,23,1,1,1,1,0,0,0,189,0,0,0,0,0,0,0,1
2014,2,4:25,9/14/2014,NYJ (24) at GB (31),True,False,GB,NYJ,GB,NYJ,REG,True,109.8,42,25,0,3,1,1,1,0,1,346,6,11,0,0,0,0,28,3
2014,3,1:00,9/21/2014,GB (7) at DET (19),False,True,DET,GB,DET,GB,REG,False,88.8,27,16,0,1,0,0,0,0,0,162,0,0,0,0,0,0,0,1
2014,4,1:00,9/28/2014,GB (38) at CHI (17),True,False,GB,CHI,CHI,GB,REG,False,151.2,28,22,0,4,0,0,0,0,0,302,1,8,0,0,0,0,8,4
2014,5,8:25,10/2/2014,MIN (10) at GB (42),True,False,GB,MIN,GB,MIN,REG,True,138.7,17,12,0,3,0,0,0,0,0,156,0,0,0,0,0,0,0,3
2014,6,1:00,10/12/2014,GB (27) at MIA (24),True,False,GB,MIA,MIA,GB,REG,False,99.7,42,24,0,3,0,0,0,0,0,264,7,9,0,0,0,0,34,3
2014,7,1:00,10/19/2014,CAR (17) at GB (38),True,False,GB,CAR,GB,CAR,REG,True,154.5,22,19,0,3,0,0,0,0,0,255,3,16,0,0,0,0,21,3
2014,8,8:30,10/26/2014,GB (23) at NO (44),False,True,NO,GB,NO,GB,REG,False,102.3,39,28,2,1,0,0,0,0,0,418,2,14,14,1,0,0,21,2
2014,10,8:30,11/9/2014,CHI (14) at GB (55),True,False,GB,CHI,GB,CHI,REG,True,145.8,27,18,0,6,0,0,0,0,0,315,0,0,0,0,0,0,0,6
2014,11,4:25,11/16/2014,PHI (20) at GB (53),True,False,GB,PHI,GB,PHI,REG,True,120.3,36,22,0,3,0,0,0,0,0,341,3,16,0,0,0,0,32,3
2014,12,1:00,11/23/2014,GB (24) at MIN (21),True,False,GB,MIN,MIN,GB,REG,False,109.7,29,19,0,2,0,0,0,0,0,209,6,18,0,0,0,0,34,2
2014,13,4:25,11/30/2014,NE (21) at GB (26),True,False,GB,NE,GB,NE,REG,True,112.6,38,24,0,2,0,0,0,0,0,368,5,17,0,0,0,0,22,2
2014,14,8:30,12/8/2014,ATL (37) at GB (43),True,False,GB,ATL,GB,ATL,REG,True,123.3,36,24,0,3,0,0,0,0,0,327,5,12,0,0,0,0,28,3
2014,15,1:00,12/14/2014,GB (13) at BUF (21),False,True,BUF,GB,BUF,GB,REG,False,34.3,42,17,2,0,0,0,0,0,0,185,3,19,0,0,0,0,27,0
2014,16,1:00,12/21/2014,GB (20) at TB (3),True,False,GB,TB,TB,GB,REG,False,108.1,40,31,0,1,0,0,0,0,0,318,0,0,0,0,0,0,0,1
2014,17,1:00,12/28/2014,DET (20) at GB (30),True,False,GB,DET,GB,DET,REG,True,148.9,22,17,0,2,0,0,0,0,0,226,2,13,1,1,0,0,14,3
2014,2,1:05,1/11/2014,DAL (21) at GB (26),True,False,GB,DAL,GB,DAL,POST,True,125.4,35,24,0,3,1,1,0,0,0,316,4,0,0,0,0,0,-4,3
2014,3,3:05,1/18/2014,GB (22) at SEA (28),False,True,SEA,GB,SEA,GB,POST,False,55.8,34,19,2,1,0,0,0,0,0,178,1,12,0,0,0,0,12,1
