week,game_time,date_stamp,desc,down,drive,first_down,home,note,passing_att,passing_cmp,passing_cmp_air_yds,passing_first_down,passing_tds,passing_yds,players,playid,receiving_rec,receiving_tar,receiving_tds,receiving_yac_yds,receiving_yds,team,time,touchdown,yardline,yards_togo
1,1:00,9/13/2015,(9:21) A.Rodgers scrambles left guard to GB 41 for 2 yards (J.Jenkins).,1,1,0,False,,0,0,0,0,0,0,"[A.Rodgers, J.Jenkins]",373,0,0,0,0,0,GB,Q1 09:21,False,OWN 39,10
1,1:00,9/13/2015,(8:08) (Shotgun) A.Rodgers pass incomplete short right to D.Adams.,3,1,0,False,,1,0,0,0,0,0,"[A.Rodgers, D.Adams]",416,0,1,0,0,0,GB,Q1 08:08,False,OWN 46,3
1,1:00,9/13/2015,(5:25) (Shotgun) A.Rodgers pass short middle to R.Rodgers to GB 43 for 20 yards (S.McManis; S.McClellin).,1,3,1,False,,1,1,12,1,0,20,"[R.Rodgers, A.Rodgers, S.McClellin, S.McManis]",686,1,1,0,8,20,GB,Q1 05:25,False,OWN 23,10
1,1:00,9/13/2015,"(4:19) (No Huddle, Shotgun) A.Rodgers pass short left to E.Lacy to CHI 47 for 9 yards (J.Allen).",2,3,1,False,,1,1,1,1,0,9,"[A.Rodgers, J.Allen, E.Lacy]",733,1,1,0,8,9,GB,Q1 04:19,False,OWN 44,9
1,1:00,9/13/2015,(2:30) (Shotgun) A.Rodgers pass short left to R.Rodgers to CHI 22 for 5 yards (C.Jones).,2,3,0,False,,1,1,2,0,0,5,"[C.Jones, R.Rodgers, A.Rodgers]",799,1,1,0,3,5,GB,Q1 02:30,False,OPP 27,6
1,1:00,9/13/2015,(2:06) (No Huddle) A.Rodgers right guard to CHI 20 for 2 yards (J.Allen).,3,3,1,False,,0,0,0,0,0,0,"[A.Rodgers, J.Allen]",823,0,0,0,0,0,GB,Q1 02:06,False,OPP 22,1
1,1:00,9/13/2015,(1:37) A.Rodgers pass incomplete deep right to D.Adams.,1,3,0,False,,1,0,0,0,0,0,"[A.Rodgers, D.Adams]",844,0,1,0,0,0,GB,Q1 01:37,False,OPP 20,10
1,1:00,9/13/2015,(1:30) (Shotgun) A.Rodgers pass short right to D.Adams to CHI 13 for 7 yards (A.Rolle).,2,3,0,False,,1,1,5,0,0,7,"[A.Rodgers, A.Rolle, D.Adams]",866,1,1,0,2,7,GB,Q1 01:30,False,OPP 20,10
1,1:00,9/13/2015,"(:50) (Shotgun) A.Rodgers pass short left to J.Jones for 13 yards, TOUCHDOWN.",3,3,1,False,TD,1,1,13,1,1,13,"[A.Rodgers, J.Jones]",890,1,1,1,0,13,GB,Q1 00:50,True,OPP 13,3
1,1:00,9/13/2015,(7:13) A.Rodgers pass incomplete to D.Adams (J.Jenkins).,2,5,0,False,,1,0,0,0,0,0,"[J.Jenkins, A.Rodgers, D.Adams]",1535,0,1,0,0,0,GB,Q2 07:13,False,OWN 27,3
1,1:00,9/13/2015,(7:07) (Shotgun) A.Rodgers pass short left to J.Jones ran ob at GB 30 for 3 yards.,3,5,1,False,,1,1,2,1,0,3,"[A.Rodgers, J.Jones]",1557,1,1,0,1,3,GB,Q2 07:07,False,OWN 27,3
1,1:00,9/13/2015,(6:49) (No Huddle) A.Rodgers pass short right to R.Cobb to GB 34 for 4 yards (S.McManis; K.Fuller).,1,5,0,False,,1,1,0,0,0,4,"[K.Fuller, S.McManis, A.Rodgers, R.Cobb]",1581,1,1,0,4,4,GB,Q2 06:49,False,OWN 30,10
1,1:00,9/13/2015,"(6:15) (No Huddle) A.Rodgers pass deep left to J.Jones to CHI 32 for 34 yards (A.Ball). Penalty on CHI-W.Young, Defensive Offside, declined.",2,5,1,False,,1,1,32,1,0,34,"[A.Ball, A.Rodgers, J.Jones]",1605,1,1,0,2,34,GB,Q2 06:15,False,OWN 34,6
1,1:00,9/13/2015,(5:51) A.Rodgers pass short right to D.Adams to CHI 11 for 21 yards (A.Rolle; S.McClellin).,1,5,1,False,,1,1,10,1,0,21,"[A.Rolle, A.Rodgers, S.McClellin, D.Adams]",1641,1,1,0,11,21,GB,Q2 05:51,False,OPP 32,10
1,1:00,9/13/2015,(3:17) (Shotgun) A.Rodgers pass short left to R.Cobb to CHI 19 for 10 yards (A.Amos).,3,5,0,False,,1,1,2,0,0,10,"[A.Amos, A.Rodgers, R.Cobb]",1797,1,1,0,8,10,GB,Q2 03:17,False,OPP 29,28
1,1:00,9/13/2015,(:05) A.Rodgers kneels to GB 20 for -1 yards.,1,7,0,False,,0,0,0,0,0,0,[A.Rodgers],2240,0,0,0,0,0,GB,Q2 00:05,False,OWN 21,10
1,1:00,9/13/2015,(14:12) (Shotgun) A.Rodgers pass short right to R.Rodgers pushed ob at CHI 46 for 2 yards (A.Rolle).,1,8,0,False,,1,1,-2,0,0,2,"[R.Rodgers, A.Rodgers, A.Rolle]",2321,1,1,0,4,2,GB,Q3 14:12,False,OPP 48,10
1,1:00,9/13/2015,"(13:07) A.Rodgers pass deep right to D.Adams ran ob at CHI 6 for 25 yards. Chicago challenged the pass completion ruling, and the play was Upheld. The ruling on the field was confirmed. (Timeout #1.)",1,8,1,False,TIMEOUT,1,1,25,1,0,25,"[A.Rodgers, D.Adams]",2366,1,1,0,0,25,GB,Q3 13:07,False,OPP 31,10
1,1:00,9/13/2015,(12:44) (Shotgun) A.Rodgers pass short middle to E.Lacy to CHI 1 for 5 yards (C.Jones).,1,8,0,False,,1,1,-4,0,0,5,"[C.Jones, A.Rodgers, E.Lacy]",2434,1,1,0,9,5,GB,Q3 12:44,False,OPP 6,6
1,1:00,9/13/2015,"(11:59) (No Huddle, Shotgun) A.Rodgers pass short left to J.Jones for 1 yard, TOUCHDOWN.",2,8,1,False,TD,1,1,1,1,1,1,"[A.Rodgers, J.Jones]",2458,1,1,1,0,1,GB,Q3 11:59,True,OPP 1,1
1,1:00,9/13/2015,(2:43) (Shotgun) A.Rodgers pass short right to R.Cobb pushed ob at GB 33 for 9 yards (A.Amos).,3,10,1,False,,1,1,0,1,0,9,"[A.Amos, A.Rodgers, R.Cobb]",2976,1,1,0,9,9,GB,Q3 02:43,False,OWN 24,8
1,1:00,9/13/2015,(1:36) (Shotgun) A.Rodgers scrambles right end pushed ob at GB 39 for 4 yards (S.McClellin).,2,10,0,False,,0,0,0,0,0,0,"[A.Rodgers, S.McClellin]",3021,0,0,0,0,0,GB,Q3 01:36,False,OWN 35,8
1,1:00,9/13/2015,(1:01) (Shotgun) A.Rodgers scrambles left end to CHI 49 for 12 yards.,3,10,1,False,,0,0,0,0,0,0,[A.Rodgers],3047,0,0,0,0,0,GB,Q3 01:01,False,OWN 39,4
1,1:00,9/13/2015,"(:25) (No Huddle, Shotgun) A.Rodgers pass incomplete short left to D.Adams.",1,10,0,False,,1,0,0,0,0,0,"[A.Rodgers, D.Adams]",3068,0,1,0,0,0,GB,Q3 00:25,False,OPP 49,10
1,1:00,9/13/2015,(15:00) (Shotgun) A.Rodgers pass short left to R.Cobb pushed ob at CHI 40 for 10 yards (A.Amos).,3,10,0,False,,1,1,0,0,0,10,"[A.Amos, A.Rodgers, R.Cobb]",3128,1,1,0,10,10,GB,Q4 15:00,False,MIDFIELD,11
1,1:00,9/13/2015,(13:49) (Shotgun) A.Rodgers scrambles left end pushed ob at CHI 22 for 15 yards (A.Ball).,1,10,1,False,,0,0,0,0,0,0,"[A.Ball, A.Rodgers]",3173,0,0,0,0,0,GB,Q4 13:49,False,OPP 37,10
1,1:00,9/13/2015,(11:15) A.Rodgers scrambles right end pushed ob at CHI 10 for 1 yard (P.McPhee).,1,10,0,False,,0,0,0,0,0,0,"[A.Rodgers, P.McPhee]",3257,0,0,0,0,0,GB,Q4 11:15,False,OPP 11,10
1,1:00,9/13/2015,"(10:32) (Shotgun) A.Rodgers pass short left to R.Cobb for 5 yards, TOUCHDOWN. Penalty on CHI-S.McManis, Defensive Pass Interference, declined.",2,10,1,False,TD,1,1,5,1,1,5,"[A.Rodgers, R.Cobb]",3333,1,1,1,0,5,GB,Q4 10:32,True,OPP 5,4
1,1:00,9/13/2015,(7:38) (Shotgun) A.Rodgers pass short right to D.Adams to GB 8 for 6 yards (P.McPhee).,1,12,0,False,,1,1,0,0,0,6,"[A.Rodgers, P.McPhee, D.Adams]",3632,1,1,0,6,6,GB,Q4 07:38,False,OWN 2,10
1,1:00,9/13/2015,(6:23) (Shotgun) A.Rodgers pass incomplete short right to E.Lacy.,3,12,0,False,,1,0,0,0,0,0,"[A.Rodgers, E.Lacy]",3682,0,1,0,0,0,GB,Q4 06:23,False,OWN 9,3
1,1:00,9/13/2015,(:33) A.Rodgers kneels to CHI 46 for no gain.,1,16,0,False,,0,0,0,0,0,0,[A.Rodgers],4318,0,0,0,0,0,GB,Q4 00:33,False,OPP 46,10
2,8:30,9/20/2015,"(14:26) (No Huddle, Shotgun) A.Rodgers pass short left to R.Rodgers pushed ob at GB 29 for 9 yards (K.Wright).",2,0,0,True,,1,1,9,0,0,9,"[K.Wright, R.Rodgers, A.Rodgers]",72,1,1,0,0,9,GB,Q1 14:26,False,OWN 20,10
2,8:30,9/20/2015,"(14:09) A.Rodgers pass deep middle to R.Cobb to SEA 44 for 22 yards (D.Shead). Penalty on SEA-M.Bennett, Defensive Offside, declined.",1,0,1,True,,1,1,19,1,0,22,"[D.Shead, A.Rodgers, R.Cobb]",118,1,1,0,3,22,GB,Q1 14:09,False,OWN 34,10
2,8:30,9/20/2015,"(13:57) (No Huddle, Shotgun) A.Rodgers pass incomplete short right.",1,0,0,True,,1,0,0,0,0,0,[A.Rodgers],184,0,0,0,0,0,GB,Q1 13:57,False,OPP 44,10
2,8:30,9/20/2015,(13:05) (Shotgun) A.Rodgers pass short middle to D.Adams to SEA 33 for 11 yards (J.Hill; D.Shead).,1,0,0,True,,1,1,4,0,0,11,"[J.Hill, D.Shead, A.Rodgers, D.Adams]",272,1,1,0,7,11,GB,Q1 13:05,False,OPP 44,20
2,8:30,9/20/2015,"(11:19) (No Huddle, Shotgun) PENALTY on GB-A.Rodgers, Delay of Game, 5 yards, enforced at SEA 24 - No Play.",1,0,0,True,PENALTY,0,0,0,0,0,0,[A.Rodgers],338,0,0,0,0,0,GB,Q1 11:19,False,OPP 24,10
2,8:30,9/20/2015,(10:56) (Shotgun) A.Rodgers pass incomplete deep left to R.Cobb.,1,0,0,True,,1,0,0,0,0,0,"[A.Rodgers, R.Cobb]",361,0,1,0,0,0,GB,Q1 10:56,False,OPP 29,15
